Easting (X),Northing (Y),Hosp
36.8720909,-1.2565106,"Airbase, Nairobi, Kenya"
36.7476257,-1.3640944,"Nairobi, Kenya"
,,
,,
36.8012999,-1.2616292,"Sarit Center, 4th Floor, Nairobi, Kenya"
,,
,,
,,
36.873781,-1.232811,"1st Floor Mountain Mall Mountain Mall, Nairobi, Kenya"
36.8211259,-1.2842887,"07, Nairobi, Kenya"
,,
,,
36.812022,-1.2675001,"Westlands, Nairobi, Kenya"
,,
,,
36.872984,-1.296867,"Viwandani, Makadara, Makadara, Nairobi, Kenya"
,,
36.8640441,-1.2527437,"Utalii, Ruaraka, Nairobi, Kenya"
36.8605223,-1.2599216,"Nairobi, Kenya"
,,
,,
36.7779108,-1.0586336,"Githunguri, Kenya"
36.7969894,-1.3149787,"Lindi, Kibra, Nairobi, Kenya"
,,
36.8219462,-1.2920659,"Nairobi, Kenya"
36.8271712,-1.2852005,"Mfangano Street, Nairobi, Kenya"
36.7452228,-1.2864403,"Nairobi, Kenya"
,,
,,
,,
,,
36.8391565,-1.2769237,"Starehe Boys Centre and School, Nairobi City, Kenya"
36.8869064,-1.2184586,"Zimmerman, Nairobi, Kenya"
36.805034,-1.2784487,"State House Clinic, Aboretum Drive, Kilimani sublocation, Kilimani location, Kilimani division, Westlands, Nairobi, 00400, Kenya"
36.7992,-1.2844,"PQ8X+6MP, Nairobi, Kenya"
36.8147618,-1.3094585,"Nairobi West, Nairobi, Kenya"
,,
36.8707245,-1.2529373,"Nairobi, Kenya"
36.728583,-1.365292,"Karen Boyani Rd, Nairobi, Kenya"
36.7261608,-1.3360961,"The Karen Hospital Premises, Langata Rd, Nairobi, Kenya"
36.898878,-1.322973,"Embakasi Outer Ring Rd Taj Mall, Nairobi, Kenya"
36.8043475,-1.2608184,"Parklands/Highridge, Westlands, Nairobi, Kenya"
36.8815479,-1.2922481,"Buruburu, Nairobi, Kenya"
36.83483744,-1.30756905,"The Mater Misericordiae Hospital Mukuru, Kabras Road, South B, Nairobi South ward, Nairobi, Starehe, Nairobi, 00500, Kenya"
36.7652968,-1.3436931,"Galleria Mall Langata Road P O 30026 Nairobi KE, Nairobi, Kenya"
36.8909401,-1.2503642,"Korogocho, Nairobi, Kenya"
36.812022,-1.2675001,"Karura, Westlands, Nairobi, Kenya"
36.9176244,-1.2729795,"Central Main, Kayole Spine Rd, Nairobi, Kenya"
36.9078919,-1.2650516,"Kangaru Rd, Nairobi, Kenya"
36.7810267,-1.3076217,"Vostrum Clinic, Kibera Drive, Woodley Toi Area, Makina ward, Kibra, Nairobi, 44847, Kenya"
36.8150205,-1.2911634,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.9025814,-1.2482996,"Dandora, Nairobi, Kenya"
36.844991,-1.2649739,"Blessed Medical Clinic, Muratina Street, Mlango Kubwa ward, Mathare, Nairobi, Starehe, Nairobi, 00100, Kenya"
,,
36.8943307,-1.3178339,"Blissgvs Health CarePipeline, Outer Ring Road, Pipeline, Pipeline ward, Embakasi, Nairobi, 00501, Kenya"
36.8706739,-1.296014,"Kamukunji, Nairobi, Kenya"
,,
,,
36.8815565,-1.2922992,"Pipeline, Embakasi South, Embakasi South, Nairobi, Kenya"
36.879767,-1.2842977,"Harambee, Makadara, Nairobi, Kenya"
36.7879776,-1.3114234,"Woodley, Kibra, Kibra, Nairobi, Kenya"
36.9022144,-1.2180641,"Kasarani Mwiki Rd, Nairobi, Kenya"
36.81019362,-1.26878195,"Aga Khan Chiromo Lane Medical Centre  Westlands Branch, 11, Chiromo Lane, Highridge sublocation, Highridge location, Highridge division, Westlands, Nairobi, 97104, Kenya"
36.7280692,-1.2889834,"Dagoretti, Kenya"
36.7280263,-1.2889976,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
,,
36.895604,-1.2645893,"Embakasi West, Nairobi, Kenya"
36.902423,-1.2209712,"Njiru, Nairobi, Kenya"
36.9025814,-1.2482996,"Dandora, Nairobi, Kenya"
36.9025814,-1.2482996,"Dandora, Nairobi, Kenya"
36.9025341,-1.2482437,"Dandora Area III, Embakasi North, Embakasi North, Nairobi, Kenya"
36.9089039,-1.2430606,"QW45+QHC, Muigai Kenyatta Rd, Nairobi, Kenya"
36.7879776,-1.3114234,"Woodley, Kibra, Kibra, Nairobi, Kenya"
,,
36.8232169,-1.280848,"PR9F+M78, Keekorok Rd, Nairobi City, Kenya"
,,
36.8304167,-1.2781236,"Ngara, Nairobi, Kenya"
36.8219462,-1.2920659,"Kahawa, Nairobi, Kenya"
36.83416825,-1.3118526,"Flack medical clinic, Mchumbi Road, South B, Nairobi South ward, Nairobi, Starehe, Nairobi, 00603, Kenya"
36.894421,-1.220115,"Icipe Rd, Nairobi, Kenya"
36.8977676,-1.3237858,"Garrison Health Centre, Airport North Road, Embakasi, Pipeline ward, Embakasi, Nairobi, 00501, Kenya"
36.8869064,-1.2184586,"Nairobi, Kenya"
36.9025814,-1.2482996,"Dandora, Nairobi, Kenya"
,,
,,
36.8709715,-1.2869846,"Harambee, Makadara, Makadara, Nairobi, Kenya"
36.7401575,-1.2863062,"PP7R+F3F, Nairobi, Kenya"
