,Facility Code,Facility Name,County,Type,Owner,Location,Sub Location,Constituency,Open 24 Hours,Open Weekends,Operational Status
1,19310, St Jude's Huruma Community Health Services,Nairobi,Medical Clinic,Private Practice - Unspecified,Huruma,Huruma,MATHARE,N,Y,Operational
7,13043,7Kr Mrs Health Centre,Nairobi,Health Centre,Armed Forces,Mugumoini,Mugumoini,LANG'ATA,Y,Y,Operational
10,20346,AAR Adams Health Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Woodly,Woodly,KIBRA,N,Y,Operational
11,12861,AAR City Centre Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Central Business District,,STAREHE,N,Y,Operational
12,16796,AAR Clinic Sarit Centre (Westlands),Nairobi,Medical Clinic,Private Enterprise (Institution),Parklands,Upper Parklands,WESTLANDS,N,N,Operational
14,19958,AAR Gwh Health Care Ltd,Nairobi,Health Centre,Private Enterprise (Institution),,,DAGORETTI NORTH,N,Y,Operational
15,20405,AAR Health Care,Nairobi,Health Centre,Private Practice - Medical Specialist,Embakasi,Tassia,EMBAKASI EAST,N,Y,Operational
17,18859,AAR Healthcare Limited (Karen),Nairobi,Medical Clinic,Private Enterprise (Institution),Lang'ata,Lang'ata,LANG'ATA,N,Y,Operational
20,20140,AAR Mountain mall,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Roysambu,Garden,ROYSAMBU,N,Y,Operational
22,21224,AAR Outpatient Center Donholm,Nairobi,Medical Clinic,Private Practice - General Practitioner,Upper Savanna,Donholm,EMBAKASI EAST,N,Y,Operational
26,12865,Afwan Medical Centre,Nairobi,Nursing Home,Private Enterprise (Institution),Pumwani,Pumwani,KAMUKUNJI,Y,Y,Operational
34,19515,Afya Bora Health Care,Nairobi,Medical Clinic,Non-Governmental Organizations,Kangemi,,WESTLANDS,Y,Y,Operational
44,19551,Afya Bora Medical Clinic (Westlands),Nairobi,Medical Clinic,Private Enterprise (Institution),Kangemi,,WESTLANDS,N,N,Operational
47,18486,Afya Health Care,Nairobi,Dispensary,Private Enterprise (Institution),Githurai,Githurai,ROYSAMBU,N,Y,Operational
59,19356,Alphine Dental Centre (Kencom Hse),Nairobi,Dental Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,Y,Operational
89,19462,Avenue Health Care (Makadara),Nairobi,Medical Clinic,Private Practice - General Practitioner,Viwandani,Viwandani,MAKADARA,N,N,Operational
94,12874,Avenue Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Parklands,Parklands,WESTLANDS,Y,Y,Operational
105,12881,Baraka Dispensary (Nairobi),Nairobi,Dispensary,Private Enterprise (Institution),Ruaraka,,RUARAKA,N,N,Operational
